equipo_id,codigo_patrimonial,tipo_equipo,marca,modelo,ram_gb,almacenamiento_gb,tipo_disco,antiguedad_meses,estado_conservacion,estado_operativo,area_id,area_nombre,total_mantenimientos,correctivos_12m,preventivos_12m,dias_desde_ultimo_mantenimiento,severidad_max_historica,fallas_altas_criticas_12m,nivel_riesgo,score_riesgo
9001,990000009001,Monitor,Dell,Model-792,,,,13,Nuevo,Operativo,10,Tecnología de la Información,0,0,0,,0,0,Bajo,15.0
9002,990000009002,CPU,Canon,Model-739,32.0,512.0,HDD,20,Bueno,Operativo,12,Contabilidad,1,1,0,113.0,1,0,Bajo,15.0
9003,990000009003,Otro,HP,Model-202,,,,51,Bueno,Operativo,14,Dirección General,1,1,0,195.0,1,0,Medio,40.0
9004,990000009004,Impresora,Asus,Model-927,,,,37,Bueno,Operativo,13,Logística,1,1,0,325.0,3,1,Alto,65.0
9005,990000009005,Laptop,Canon,Model-747,4.0,256.0,HDD,23,Nuevo,Operativo,13,Logística,2,0,1,249.0,1,0,Bajo,15.0
9006,990000009006,Impresora,Acer,Model-343,,,,46,Regular,Operativo,10,Tecnología de la Información,4,1,0,119.0,2,0,Medio,40.0
9007,990000009007,CPU,Asus,Model-447,16.0,256.0,HDD,23,Bueno,Operativo,12,Contabilidad,7,3,2,80.0,4,1,Alto,65.0
9008,990000009008,Impresora,Lenovo,Model-565,,,,9,Bueno,Operativo,12,Contabilidad,1,0,1,40.0,1,0,Bajo,15.0
9009,990000009009,Monitor,Dell,Model-165,,,,25,Regular,Operativo,12,Contabilidad,4,2,0,171.0,4,2,Critico,90.0
9010,990000009010,Otro,Asus,Model-988,,,,11,Nuevo,Operativo,14,Dirección General,0,0,0,,0,0,Bajo,15.0
9011,990000009011,Otro,Acer,Model-171,,,,44,Bueno,Operativo,10,Tecnología de la Información,3,0,1,202.0,2,0,Bajo,15.0
9012,990000009012,Impresora,Samsung,Model-353,,,,22,Malo,Dañado,11,Recursos Humanos,9,4,2,46.0,4,2,Critico,90.0
9013,990000009013,Otro,Acer,Model-841,,,,15,Bueno,Operativo,13,Logística,1,1,0,264.0,2,0,Bajo,15.0
9014,990000009014,CPU,Asus,Model-190,16.0,1024.0,NVMe,15,Nuevo,Operativo,11,Recursos Humanos,0,0,0,,0,0,Bajo,15.0
9015,990000009015,Impresora,Lenovo,Model-830,,,,25,Regular,Operativo,10,Tecnología de la Información,7,2,2,206.0,3,1,Alto,65.0
9016,990000009016,Otro,Canon,Model-588,,,,24,Nuevo,Operativo,12,Contabilidad,0,0,0,,0,0,Bajo,15.0
9017,990000009017,CPU,Dell,Model-902,8.0,512.0,HDD,25,Malo,Operativo,11,Recursos Humanos,5,1,1,57.0,4,1,Alto,65.0
9018,990000009018,Impresora,HP,Model-796,,,,6,Bueno,Operativo,10,Tecnología de la Información,0,0,0,,0,0,Bajo,15.0
9019,990000009019,Otro,Epson,Model-147,,,,33,Bueno,Operativo,12,Contabilidad,3,0,3,109.0,1,0,Bajo,15.0
9020,990000009020,Otro,Asus,Model-855,,,,12,Regular,Operativo,11,Recursos Humanos,5,4,1,28.0,4,2,Critico,90.0
9021,990000009021,Laptop,Canon,Model-574,4.0,512.0,SSD,13,Malo,Dañado,11,Recursos Humanos,7,4,3,102.0,4,3,Critico,90.0
9022,990000009022,Monitor,Acer,Model-881,,,,14,Bueno,Operativo,13,Logística,6,3,2,32.0,4,1,Alto,65.0
9023,990000009023,Otro,Lenovo,Model-151,,,,18,Regular,Operativo,10,Tecnología de la Información,7,5,0,32.0,3,1,Alto,65.0
9024,990000009024,Monitor,Asus,Model-301,,,,45,Regular,Operativo,12,Contabilidad,2,0,0,469.0,2,0,Medio,40.0
9025,990000009025,Impresora,Samsung,Model-288,,,,13,Nuevo,Operativo,12,Contabilidad,1,1,0,165.0,2,0,Bajo,15.0
9026,990000009026,Impresora,Asus,Model-308,,,,20,Bueno,Operativo,10,Tecnología de la Información,1,0,1,288.0,1,0,Bajo,15.0
9027,990000009027,Laptop,Lenovo,Model-706,16.0,256.0,HDD,24,Bueno,Operativo,14,Dirección General,7,4,1,57.0,4,0,Alto,65.0
9028,990000009028,CPU,Samsung,Model-245,32.0,512.0,HDD,8,Bueno,Operativo,10,Tecnología de la Información,2,2,0,103.0,2,0,Bajo,15.0
9029,990000009029,Impresora,Dell,Model-258,,,,20,Bueno,Operativo,12,Contabilidad,0,0,0,,0,0,Bajo,15.0
9030,990000009030,Otro,Dell,Model-304,,,,54,Regular,Operativo,14,Dirección General,1,0,1,286.0,1,0,Medio,40.0
9031,990000009031,CPU,Canon,Model-338,32.0,256.0,NVMe,17,Nuevo,Operativo,14,Dirección General,2,0,1,293.0,1,0,Bajo,15.0
9032,990000009032,Otro,Epson,Model-898,,,,44,Regular,Operativo,10,Tecnología de la Información,2,0,0,487.0,4,0,Medio,40.0
9033,990000009033,Laptop,Lenovo,Model-711,32.0,256.0,SSD,16,Regular,Dañado,14,Dirección General,4,3,0,157.0,4,1,Critico,90.0
9034,990000009034,Impresora,Asus,Model-608,,,,20,Regular,Operativo,14,Dirección General,3,0,0,368.0,1,0,Medio,40.0
9035,990000009035,Impresora,HP,Model-107,,,,35,Regular,Operativo,13,Logística,3,2,0,69.0,1,0,Medio,40.0
9036,990000009036,CPU,Asus,Model-129,32.0,256.0,HDD,36,Bueno,Operativo,12,Contabilidad,2,2,0,132.0,2,0,Bajo,15.0
9037,990000009037,Monitor,Epson,Model-659,,,,26,Bueno,Operativo,10,Tecnología de la Información,2,0,1,278.0,1,0,Bajo,15.0
9038,990000009038,Monitor,Acer,Model-841,,,,24,Nuevo,Operativo,13,Logística,0,0,0,,0,0,Bajo,15.0
9039,990000009039,Otro,Lenovo,Model-562,,,,51,Bueno,Operativo,13,Logística,4,0,1,240.0,2,0,Medio,40.0
9040,990000009040,Monitor,Acer,Model-813,,,,23,Regular,Operativo,13,Logística,7,2,1,16.0,3,0,Medio,40.0
9041,990000009041,Otro,Asus,Model-260,,,,15,Nuevo,Operativo,13,Logística,0,0,0,,0,0,Bajo,15.0
9042,990000009042,Laptop,Canon,Model-495,8.0,1024.0,SSD,10,Regular,Operativo,13,Logística,6,3,3,32.0,1,0,Alto,65.0
9043,990000009043,Impresora,Lenovo,Model-776,,,,29,Bueno,Operativo,10,Tecnología de la Información,3,1,0,216.0,1,0,Bajo,15.0
